Status,Listing Action,Product Name,SKU,Product Type,Parentage Level,Parent SKU,Variation Theme Name,Brand Name,Product ID Type,Product ID,Manufacturer,Part Number,Original Trade Price (inc VAT),Trade Sell Price (inc VAT),Original Consumer Price (inc VAT),Consumer Sell Price (inc VAT),VAT %,Qty Available,Units per  Product,"Unit Measurement
",Product Description,Bullet Points,Included Components,Special Features_1,Special Features_2,Special Features_3,Special Features_4,Special Features_5,Main Image URL,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Age Restricted,Colour,Size,Style,Material,Edge,Shape,Finish,Packs per Product,Product Length Range,Product Length ,Product Length Unit,Product Width Range,Product Width ,Product Width Unit,Product Thickness ,Product Thickness Unit,Product Height,Product Height Unit,Product Weight,Product Weight Unit,Package Length,Package Length Unit,Package Width,Package Width Unit,Package Height,Package Height Unit,Package Weight,Package Weight Unit,Country of origin,No of Boxes,Delivery Time,Delivery Time Unit,Item form,Installation Type
Active,No action,Premium Plasterboard Sheets – High-Quality Gypsum Board for Walls & Ceilings,P100001,CARPETING,Parent,,Colour/Size,ABC,,,ABC,,,,,,,,,,"Upgrade your interior projects with this premium-grade plasterboard sheet designed for superior strength, smooth finishing, and ease of installation. Whether you're constructing new walls, repairing damaged sections, or installing false ceilings, this plasterboard provides the reliability and performance you need. Its lightweight design allows quick handling and cutting, making it suitable for homeowners, contractors, and professional installers. With added fire and moisture resistance, it ensures both safety and durability in various environments. Perfect for painting, wallpapering, or any finishing material, this plasterboard delivers a clean and polished look every time.","Provides excellent finish for painting, wallpapering, or decorative applications.
Designed for long-lasting performance—ideal for both residential and commercial interiors.
Lightweight and simple to handle; compatible with standard cutting tools for quick installation.
Engineered to meet safety standards, offering better protection in various environments.
Perfect for partition walls, false ceilings, repairs, renovations, and new installations.",,,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,,,,Gypsum,,Rectangle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active,Create or Replace (Full Update),Plasterboard 2400×1200×12.5 mm – Standard White | Tapered Edge Gypsum Board,100001,CARPETING,Child,P100001,Colour/Size,ABC,EAN,1000000000001,ABC,100001,,86.25,,80,20,500,10,,"Upgrade your interior projects with this premium-grade plasterboard sheet designed for superior strength, smooth finishing, and ease of installation. Whether you're constructing new walls, repairing damaged sections, or installing false ceilings, this plasterboard provides the reliability and performance you need. Its lightweight design allows quick handling and cutting, making it suitable for homeowners, contractors, and professional installers. With added fire and moisture resistance, it ensures both safety and durability in various environments. Perfect for painting, wallpapering, or any finishing material, this plasterboard delivers a clean and polished look every time.","Provides excellent finish for painting, wallpapering, or decorative applications.
Designed for long-lasting performance—ideal for both residential and commercial interiors.
Lightweight and simple to handle; compatible with standard cutting tools for quick installation.
Engineered to meet safety standards, offering better protection in various environments.
Perfect for partition walls, false ceilings, repairs, renovations, and new installations.",,Standard,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,Standard White,2400×1200×12.5 mm,,Gypsum,Tapered,Rectangle ,,1,,2400,Millimetres,,1200,Millimetres,12.5,Millimetres,,,,,,,,,,,,,,1,3,Days,,
Active,Create or Replace (Full Update),Moisture-Resistant Plasterboard 2400×1200×12.5 mm – Green | Bathroom & Kitchen Board,100002,CARPETING,Child,P100001,Colour/Size,ABC,EAN,1000000000001,ABC,100002,,86.25,,80,20,500,10,,"Upgrade your interior projects with this premium-grade plasterboard sheet designed for superior strength, smooth finishing, and ease of installation. Whether you're constructing new walls, repairing damaged sections, or installing false ceilings, this plasterboard provides the reliability and performance you need. Its lightweight design allows quick handling and cutting, making it suitable for homeowners, contractors, and professional installers. With added fire and moisture resistance, it ensures both safety and durability in various environments. Perfect for painting, wallpapering, or any finishing material, this plasterboard delivers a clean and polished look every time.","Provides excellent finish for painting, wallpapering, or decorative applications.
Designed for long-lasting performance—ideal for both residential and commercial interiors.
Lightweight and simple to handle; compatible with standard cutting tools for quick installation.
Engineered to meet safety standardring in various environments.
Perfect for partition walls, false ceilings, repairs, renovations, and new installations.",,Moisture-Resistant,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,Moisture Green,2400×1200×12.5 mm,,Gypsum,Tapered,Rectangle ,,1,,2400,Millimetres,,1200,Millimetres,12.5,Millimetres,,,,,,,,,,,,,,1,3,Days,,
Active,Create or Replace (Full Update),Fire-Rated Plasterboard 2400×1200×12.5 mm – Pink | Tapered Edge Fire-Resistant Sheet,100003,CARPETING,Child,P100001,Colour/Size,ABC,EAN,1000000000001,ABC,100003,,86.25,,80,20,500,10,,"Upgrade your interior projects with this premium-grade plasterboard sheet designed for superior strength, smooth finishing, and ease of installation. Whether you're constructing new walls, repairing damaged sections, or installing false ceilings, this plasterboard provides the reliability and performance you need. Its lightweight design allows quick handling and cutting, making it suitable for homeowners, contractors, and professional installers. With added fire and moisture resistance, it ensures both safety and durability in various environments. Perfect for painting, wallpapering, or any finishing material, this plasterboard delivers a clean and polished look every time.","Provides excellent finish for painting, wallpapering, or decorative applications.
Designed for long-lasting performance—ideal for both residential and commercial interiors.
Lightweight and simple to handle; compatible with standard cutting tools for quick installation.
Engineered to meet safety standards, offering better protection in various environments.
Perfect for partition walls, false ceilings, repairs, renovations, and new installations.",,Fire-Rated,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,Fire Pink,2400×1200×12.5 mm,,Gypsum,Tapered,Rectangle ,,1,,2400,Millimetres,,1200,Millimetres,12.5,Millimetres,,,,,,,,,,,,,,1,3,Days,,
Active,Create or Replace (Full Update),Fire-Rated Plasterboard 2400×1200×12.5 mm – Pink | Tapered Edge Fire-Resistant Sheet,100004,CARPETING,Child,P100001,Colour/Size,ABC,EAN,1000000000001,ABC,100004,,86.25,,80,20,500,10,,"Upgrade your interior projects with this premium-grade plasterboard sheet designed for superior strength, smooth finishing, and ease of installation. Whether you're constructing new walls, repairing damaged sections, or installing false ceilings, this plasterboard provides the reliability and performance you need. Its lightweight design allows quick handling and cutting, making it suitable for homeowners, contractors, and professional installers. With added fire and moisture resistance, it ensures both safety and durability in various environments. Perfect for painting, wallpapering, or any finishing material, this plasterboard delivers a clean and polished look every time.","Provides excellent finish for painting, wallpapering, or decorative applications.
Designed for long-lasting performance—ideal for both residential and commercial interiors.
Lightweight and simple to handle; compatible with standard cutting tools for quick installation.
Engineered to meet safety standards, offering better protection in various environments.
Perfect for partition walls, false ceilings, repairs, renovations, and new installations.",,Lightweight,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,Lightweight White,2400×1200×9.5 mm,,Gypsum,Tapered,Rectangle ,,1,,2400,Millimetres,,1200,Millimetres,9.5,Millimetres,,,,,,,,,,,,,,1,3,Days,,
Active,Create or Replace (Full Update),"Vanity Basin Sink Unit & Back-to-Wall Toilet WC with Cistern, Round Matt Black Plate Tap & Waste",vanitysink-PARENT,VINYL,Parent,,Colour/Size,ABC,,,ABC,,,,,, ,,,,"Upgrade your bathroom with this modern and fully coordinated Vanity Basin Sink Unit & Back-to-Wall Toilet WC Set, complete with a concealed cistern, round matt black plate tap, and matching waste. Designed to bring both style and functionality to any space, this set combines a contemporary look with practical everyday performance.

The vanity unit features a durable ceramic basin with a smooth, high-gloss finish that’s easy to clean and highly resistant to stains and scratches. Its compact, space-saving design makes it ideal for small bathrooms, cloakrooms, and en-suites.

Paired with a sleek back-to-wall toilet, this set conceals unsightly pipework and delivers a clean, minimalist appearance. The soft-close seat ensures a quiet and gentle close every time, adding to the overall comfort and durability.","Complete Bathroom Set Includes vanity basin unit, back-to-wall toilet, concealed cistern, round matt black plate tap, and matching waste for a full, ready-to-install solution.
Modern Space-Saving Design Compact vanity unit and sleek back-to-wall toilet maximise bathroom space while maintaining a stylish, minimalist appearance.
High-Quality Ceramic Basin Durable ceramic sink with a smooth, easy-clean glaze that resists stains, scratches, and everyday wear.
Soft-Close Toilet Seat Comfortable seat with soft-close hinge mechanism that prevents slamming, reduces noise, and increases longevity.
Durable Back-to-Wall Toilet Streamlined WC fits flush against the wall, helping conceal pipework for a cleaner, modern finish.",,,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,,,Modern,"ceramic, wood",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Active,Create or Replace (Full Update),"Vanity Basin Sink Unit & 500mm Back-to-Wall Toilet WC with Cistern, Round Matt Black Plate Tap & Waste (white)",vanitysink-500mm-white,VINYL,Child,vanitysink-PARENT,Colour/Size,ABC,EAN,1000000000001,ABC,100006,,355,,355,20,500,1,,"Upgrade your bathroom with this modern and fully coordinated Vanity Basin Sink Unit & Back-to-Wall Toilet WC Set, complete with a concealed cistern, round matt black plate tap, and matching waste. Designed to bring both style and functionality to any space, this set combines a contemporary look with practical everyday performance.

The vanity unit features a durable ceramic basin with a smooth, high-gloss finish that’s easy to clean and highly resistant to stains and scratches. Its compact, space-saving design makes it ideal for small bathrooms, cloakrooms, and en-suites.

Paired with a sleek back-to-wall toilet, this set conceals unsightly pipework and delivers a clean, minimalist appearance. The soft-close seat ensures a quiet and gentle close every time, adding to the overall comfort and durability.","Complete Bathroom Set Includes vanity basin unit, back-to-wall toilet, concealed cistern, round matt black plate tap, and matching waste for a full, ready-to-install solution.
Modern Space-Saving Design Compact vanity unit and sleek back-to-wall toilet maximise bathroom space while maintaining a stylish, minimalist appearance.
High-Quality Ceramic Basin Durable ceramic sink with a smooth, easy-clean glaze that resists stains, scratches, and everyday wear.
Soft-Close Toilet Seat Comfortable seat with soft-close hinge mechanism that prevents slamming, reduces noise, and increases longevity.
Durable Back-to-Wall Toilet Streamlined WC fits flush against the wall, helping conceal pipework for a cleaner, modern finish.",,,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,White,500mm,Modern,"ceramic, wood",,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,Days,,
Active,Create or Replace (Full Update),"Vanity Basin Sink Unit & 500mm Back-to-Wall Toilet WC with Cistern, Round Matt Black Plate Tap & Waste (brown)",vanitysink-500mm-brown,VINYL,Child,vanitysink-PARENT,Colour/Size,ABC,EAN,1000000000001,ABC,100007,,430,,430,20,500,1,,"Upgrade your bathroom with this modern and fully coordinated Vanity Basin Sink Unit & Back-to-Wall Toilet WC Set, complete with a concealed cistern, round matt black plate tap, and matching waste. Designed to bring both style and functionality to any space, this set combines a contemporary look with practical everyday performance.

The vanity unit features a durable ceramic basin with a smooth, high-gloss finish that’s easy to clean and highly resistant to stains and scratches. Its compact, space-saving design makes it ideal for small bathrooms, cloakrooms, and en-suites.

Paired with a sleek back-to-wall toilet, this set conceals unsightly pipework and delivers a clean, minimalist appearance. The soft-close seat ensures a quiet and gentle close every time, adding to the overall comfort and durability.","Complete Bathroom Set Includes vanity basin unit, back-to-wall toilet, concealed cistern, round matt black plate tap, and matching waste for a full, ready-to-install solution.
Modern Space-Saving Design Compact vanity unit and sleek back-to-wall toilet maximise bathroom space while maintaining a stylish, minimalist appearance.
High-Quality Ceramic Basin Durable ceramic sink with a smooth, easy-clean glaze that resists stains, scratches, and everyday wear.
Soft-Close Toilet Seat Comfortable seat with soft-close hinge mechanism that prevents slamming, reduces noise, and increases longevity.
Durable Back-to-Wall Toilet Streamlined WC fits flush against the wall, helping conceal pipework for a cleaner, modern finish.",,,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,Brown,500mm,Modern,"ceramic, wood",,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,Days,,
Active,Create or Replace (Full Update),"Vanity Basin Sink Unit & 500mm Back-to-Wall Toilet WC with Cistern, Round Matt Black Plate Tap & Waste (green)",vanitysink-500mm-green,VINYL,Child,vanitysink-PARENT,Colour/Size,ABC,EAN,1000000000001,ABC,100008,,495,,495,20,500,1,,"Upgrade your bathroom with this modern and fully coordinated Vanity Basin Sink Unit & Back-to-Wall Toilet WC Set, complete with a concealed cistern, round matt black plate tap, and matching waste. Designed to bring both style and functionality to any space, this set combines a contemporary look with practical everyday performance.

The vanity unit features a durable ceramic basin with a smooth, high-gloss finish that’s easy to clean and highly resistant to stains and scratches. Its compact, space-saving design makes it ideal for small bathrooms, cloakrooms, and en-suites.

Paired with a sleek back-to-wall toilet, this set conceals unsightly pipework and delivers a clean, minimalist appearance. The soft-close seat ensures a quiet and gentle close every time, adding to the overall comfort and durability.","Complete Bathroom Set Includes vanity basin unit, back-to-wall toilet, concealed cistern, round matt black plate tap, and matching waste for a full, ready-to-install solution.
Modern Space-Saving Design Compact vanity unit and sleek back-to-wall toilet maximise bathroom space while maintaining a stylish, minimalist appearance.
High-Quality Ceramic Basin Durable ceramic sink with a smooth, easy-clean glaze that resists stains, scratches, and everyday wear.
Soft-Close Toilet Seat Comfortable seat with soft-close hinge mechanism that prevents slamming, reduces noise, and increases longevity.
Durable Back-to-Wall Toilet Streamlined WC fits flush against the wall, helping conceal pipework for a cleaner, modern finish.",,,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,Green,500mm,Modern,"ceramic, wood",,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,Days,,
Active,Create or Replace (Full Update),"Vanity Basin Sink Unit & 700mm Back-to-Wall Toilet WC with Cistern, Round Matt Black Plate Tap & Waste (white)",vanitysink-700mm-brown,VINYL,Child,vanitysink-PARENT,Colour/Size,ABC,EAN,1000000000001,ABC,100009,,355,,355,20,500,1,,"Upgrade your bathroom with this modern and fully coordinated Vanity Basin Sink Unit & Back-to-Wall Toilet WC Set, complete with a concealed cistern, round matt black plate tap, and matching waste. Designed to bring both style and functionality to any space, this set combines a contemporary look with practical everyday performance.

The vanity unit features a durable ceramic basin with a smooth, high-gloss finish that’s easy to clean and highly resistant to stains and scratches. Its compact, space-saving design makes it ideal for small bathrooms, cloakrooms, and en-suites.

Paired with a sleek back-to-wall toilet, this set conceals unsightly pipework and delivers a clean, minimalist appearance. The soft-close seat ensures a quiet and gentle close every time, adding to the overall comfort and durability.","Complete Bathroom Set Includes vanity basin unit, back-to-wall toilet, concealed cistern, round matt black plate tap, and matching waste for a full, ready-to-install solution.
Modern Space-Saving Design Compact vanity unit and sleek back-to-wall toilet maximise bathroom space while maintaining a stylish, minimalist appearance.
High-Quality Ceramic Basin Durable ceramic sink with a smooth, easy-clean glaze that resists stains, scratches, and everyday wear.
Soft-Close Toilet Seat Comfortable seat with soft-close hinge mechanism that prevents slamming, reduces noise, and increases longevity.
Durable Back-to-Wall Toilet Streamlined WC fits flush against the wall, helping conceal pipework for a cleaner, modern finish.",,,,,,,https://example.com/images/vanity-main.jpg,,,,,,,,,No,White,700mm,Modern,"ceramic, wood",,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,Days,,
